АКМ(размерность 55)

2.9e-05	3e-08	3.3e-08	3.7e-08	4.2e-08	4.7e-08	5.3e-08	6.1e-08	6.9e-08	8e-08	9.2e-08	1.1e-07	1.2e-07	1.4e-07	1.7e-07	2e-07	2.3e-07	2.7e-07	3.1e-07	3.6e-07	4.3e-07	5e-07	5.8e-07	6.7e-07	7.8e-07	9.1e-07	1.1e-06	1.2e-06	1.4e-06	1.6e-06	1.9e-06	2.1e-06	2.5e-06	2.8e-06	3.2e-06	3.7e-06	4.2e-06	4.7e-06	5.3e-06	6e-06	6.8e-06	7.6e-06	8.5e-06	9.5e-06	1.1e-05	1.2e-05	1.3e-05	1.4e-05	1.6e-05	1.8e-05	1.9e-05	2.1e-05	2.3e-05	2.5e-05	2.7e-05	

2.7e-05	2.9e-05	3e-08	3.3e-08	3.7e-08	4.2e-08	4.7e-08	5.3e-08	6.1e-08	6.9e-08	8e-08	9.2e-08	1.1e-07	1.2e-07	1.4e-07	1.7e-07	2e-07	2.3e-07	2.7e-07	3.1e-07	3.6e-07	4.3e-07	5e-07	5.8e-07	6.7e-07	7.8e-07	9.1e-07	1.1e-06	1.2e-06	1.4e-06	1.6e-06	1.9e-06	2.1e-06	2.5e-06	2.8e-06	3.2e-06	3.7e-06	4.2e-06	4.7e-06	5.3e-06	6e-06	6.8e-06	7.6e-06	8.5e-06	9.5e-06	1.1e-05	1.2e-05	1.3e-05	1.4e-05	1.6e-05	1.8e-05	1.9e-05	2.1e-05	2.3e-05	2.5e-05	

2.5e-05	2.7e-05	2.9e-05	3e-08	3.3e-08	3.7e-08	4.2e-08	4.7e-08	5.3e-08	6.1e-08	6.9e-08	8e-08	9.2e-08	1.1e-07	1.2e-07	1.4e-07	1.7e-07	2e-07	2.3e-07	2.7e-07	3.1e-07	3.6e-07	4.3e-07	5e-07	5.8e-07	6.7e-07	7.8e-07	9.1e-07	1.1e-06	1.2e-06	1.4e-06	1.6e-06	1.9e-06	2.1e-06	2.5e-06	2.8e-06	3.2e-06	3.7e-06	4.2e-06	4.7e-06	5.3e-06	6e-06	6.8e-06	7.6e-06	8.5e-06	9.5e-06	1.1e-05	1.2e-05	1.3e-05	1.4e-05	1.6e-05	1.8e-05	1.9e-05	2.1e-05	2.3e-05	

2.3e-05	2.5e-05	2.7e-05	2.9e-05	3e-08	3.3e-08	3.7e-08	4.2e-08	4.7e-08	5.3e-08	6.1e-08	6.9e-08	8e-08	9.2e-08	1.1e-07	1.2e-07	1.4e-07	1.7e-07	2e-07	2.3e-07	2.7e-07	3.1e-07	3.6e-07	4.3e-07	5e-07	5.8e-07	6.7e-07	7.8e-07	9.1e-07	1.1e-06	1.2e-06	1.4e-06	1.6e-06	1.9e-06	2.1e-06	2.5e-06	2.8e-06	3.2e-06	3.7e-06	4.2e-06	4.7e-06	5.3e-06	6e-06	6.8e-06	7.6e-06	8.5e-06	9.5e-06	1.1e-05	1.2e-05	1.3e-05	1.4e-05	1.6e-05	1.8e-05	1.9e-05	2.1e-05	

2.1e-05	2.3e-05	2.5e-05	2.7e-05	2.9e-05	3e-08	3.3e-08	3.7e-08	4.2e-08	4.7e-08	5.3e-08	6.1e-08	6.9e-08	8e-08	9.2e-08	1.1e-07	1.2e-07	1.4e-07	1.7e-07	2e-07	2.3e-07	2.7e-07	3.1e-07	3.6e-07	4.3e-07	5e-07	5.8e-07	6.7e-07	7.8e-07	9.1e-07	1.1e-06	1.2e-06	1.4e-06	1.6e-06	1.9e-06	2.1e-06	2.5e-06	2.8e-06	3.2e-06	3.7e-06	4.2e-06	4.7e-06	5.3e-06	6e-06	6.8e-06	7.6e-06	8.5e-06	9.5e-06	1.1e-05	1.2e-05	1.3e-05	1.4e-05	1.6e-05	1.8e-05	1.9e-05	

